eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,
1,Volkswagen,Germany,Automobiles & parts,7203.0,15.1,159337.0,25.6,4.5,8087.0,-36.7,5.1,10930.0,22.1,6.9,400,13.7,
2,Daimler,Germany,Automobiles & parts,5629.0,16.0,106540.0,9.0,5.3,4158.0,-73.1,3.9,8931.0,28.7,8.4,271,5.1,
3,Nokia,Finland,Technology hardware & equipment,4910.0,-0.6,38659.0,-8.9,12.7,597.0,-10.2,1.5,-1073.0,-156.6,-2.8,130,0.5,
4,Sanofi-Aventis,France,Pharmaceuticals & biotechnology,4795.0,9.2,33389.0,3.2,14.4,,,,5716.0,-23.4,17.1,114,6.1,
5,GlaxoSmithKline,UK,Pharmaceuticals & biotechnology,4377.0,-2.4,32725.1,-3.5,13.4,1102.9,-11.6,3.4,8961.9,95.0,27.4,97,-1.1,
6,Siemens,Germany,Electronic & electrical equipment,4278.0,0.9,73515.0,-3.2,5.8,2171.0,-17.6,3.0,8588.0,55.6,11.7,402,-0.2,
7,Robert Bosch,Germany,Automobiles & parts,4242.0,10.9,51494.0,9.0,8.2,,,,3463.0,9.1,6.7,303,9.4,
8,AstraZeneca,UK,Pharmaceuticals & biotechnology,3668.0,10.4,25961.0,1.0,14.1,648.4,3.8,2.5,9894.9,12.0,38.1,57,-7.3,
9,Ericsson,Sweden,Technology hardware & equipment,3656.9,19.6,25462.4,11.6,14.4,560.4,35.5,2.2,1990.7,9.4,7.8,105,13.8,
10,BMW,Germany,Automobiles & parts,3373.0,21.6,68821.0,17.9,4.9,3679.0,-68.2,5.3,8397.0,68.9,12.2,100,6.2,
11,EADS,The Netherlands,Aerospace & defence,3249.0,5.4,49128.0,7.4,6.6,2197.0,-0.4,4.5,1622.0,40.6,3.3,133,9.4,
12,Bayer,Germany,Chemicals,3045.0,-5.2,36528.0,4.1,8.3,1615.0,33.3,4.4,3969.0,50.0,10.9,112,-1.8,
13,Peugeot (PSA),France,Automobiles & parts,2634.0,9.7,59912.0,6.9,4.4,2253.0,24.6,3.8,858.0,-52.2,1.4,186,-6.1,
14,Boehringer Ingelheim,Germany,Pharmaceuticals & biotechnology,2516.0,2.6,13171.0,4.6,19.1,,,,2223.0,19.4,16.9,44,4.4,
15,Alcatel-Lucent,France,Technology hardware & equipment,2514.0,-1.8,15327.0,-2.9,16.4,,,,117.0,-125.1,0.8,76,-4.8,
16,Fiat,Italy,Automobiles & parts,2175.0,12.3,59559.0,4.1,3.7,5528.0,112.3,9.3,3442.0,58.5,5.8,25,-87.4,
17,Renault,France,Automobiles & parts,2064.0,19.4,42628.0,11.7,4.8,,,,2635.0,48.6,6.2,128,2.9,
18,Volvo,Sweden,Industrial engineering,1965.2,7.9,34825.8,17.2,5.6,930.2,-30.2,2.7,3045.0,54.2,8.7,102,8.5,
19,Finmeccanica,Italy,Aerospace & defence,1960.0,-0.4,17318.0,1.9,11.3,921.0,81.3,5.3,-2264.0,-300.9,-13.1,70,-6.2,
20,SAP,Germany,Software & computer services,1939.0,12.1,14233.0,14.2,13.6,445.0,69.2,3.1,4863.0,88.7,34.2,56,11.6,
21,Philips,The Netherlands,Leisure goods,1768.0,4.2,22579.0,-11.2,7.8,725.0,11.0,3.2,-303.0,-114.9,-1.3,125,7.0,
22,STMicroelectronics,The Netherlands,Technology hardware & equipment,1693.3,4.0,7523.8,-5.9,22.5,972.3,-2.7,12.9,223.4,-49.9,3.0,49,-7.2,
23,Continental,Germany,Automobiles & parts,1693.0,11.0,30504.9,17.1,5.5,1721.2,37.2,5.6,2595.4,35.3,8.5,164,14.8,
24,BASF,Germany,Chemicals,1622.0,7.6,73497.0,15.1,2.2,3410.0,3.5,4.6,8939.0,11.4,12.2,111,5.3,
25,Merck DE,Germany,Pharmaceuticals & biotechnology,1517.1,8.6,10276.4,15.1,14.8,366.3,-7.5,3.6,1071.6,5.9,10.4,41,11.9,
26,Banco Santander,Spain,Banks,1420.0,6.1,45297.0,7.7,3.1,,,,7939.0,-32.0,17.5,193,11.8,
27,Royal Bank of Scotland,UK,Banks,1254.7,41.5,28789.1,-27.6,4.4,,,,-915.3,-2835.8,-3.2,147,-8.0,
28,Novo Nordisk,Denmark,Pharmaceuticals & biotechnology,1209.9,-5.1,8924.4,9.2,13.6,413.4,-9.0,4.6,3009.6,18.4,33.7,32,9.2,
29,Telefonica,Spain,Fixed line telecommunications,1089.0,20.9,62837.0,3.5,1.7,9085.0,32.1,14.5,10925.0,-11.2,17.4,291,8.2,
30,Porsche,Germany,Automobiles & parts,1046.0,13.2,,,,,,,-4447.0,-154.2,,0,-100.0,
31,Unilever,The Netherlands,Food producers,1009.0,8.7,46467.0,5.0,2.2,,,,6546.0,8.1,14.1,169,2.4,
32,Seagate Technology,Ireland,Technology hardware & equipment,1006.0,15.0,,,,,,,,,,0,,
33,Vivendi,France,Media,998.0,-10.2,28813.0,-0.2,3.5,,,,5682.0,12.0,19.7,58,7.0,
34,Delphi,UK,Automobiles & parts,927.4,21.5,10678.6,-13.9,8.7,487.7,26.2,4.6,1270.6,74.9,11.9,104,4.3,
35,HSBC,UK,Banks,872.6,17.6,52822.5,-14.6,1.7,,,,16903.9,14.9,32.0,298,-1.4,
36,Royal Dutch Shell,UK,Oil & gas producers,869.5,10.4,363375.1,27.7,0.2,20326.9,-5.8,5.6,39765.1,59.8,10.9,90,-7.2,
37,Schneider,France,Electronic & electrical equipment,838.0,18.9,22387.0,14.3,3.7,515.0,38.8,2.3,2854.0,7.0,12.7,140,13.8,
38,BT,UK,Fixed line telecommunications,825.7,-16.1,22580.3,-5.9,3.7,3080.5,23.9,13.6,3496.3,17.2,15.5,89,-5.9,
39,France Telecom,France,Fixed line telecommunications,819.0,-3.1,45277.0,-3.2,1.8,,,,8213.0,7.6,18.1,172,6.5,
40,ALSTOM,France,Industrial engineering,780.0,11.0,19934.0,-4.7,3.9,,,,1074.0,34.3,5.4,85,0.3,
41,UCB,Belgium,Pharmaceuticals & biotechnology,780.0,11.3,2876.0,-10.6,27.1,82.0,51.9,2.9,371.0,139.4,12.9,9,-4.4,
42,Total,France,Oil & gas producers,776.0,8.5,166550.0,4.6,0.5,,,,24197.0,19.7,14.5,96,3.5,
43,Fiat Industrial ,Italy,General retailers,742.0,13.8,24289.0,13.8,3.1,993.0,13.9,4.1,1603.0,58.1,6.6,64,,
44,ZF,Germany,Automobiles & parts,732.0,17.9,15509.0,20.2,4.7,,,,850.0,33.0,5.5,68,9.0,
45,SAFRAN,France,Aerospace & defence,723.0,33.9,11658.0,5.7,6.2,352.0,15.8,3.0,896.0,15.8,7.7,60,12.0,
46,L'Oreal,France,Personal goods,720.5,8.4,20343.1,4.3,3.5,,,,3221.0,10.9,15.8,69,3.4,
47,Thales,France,Aerospace & defence,629.2,-4.0,13028.4,-0.7,4.8,,,,664.6,-295.6,5.1,68,7.2,
48,Rolls-Royce,UK,Aerospace & defence,621.4,2.8,13292.2,0.4,4.7,492.3,14.1,3.7,1417.2,5.0,10.7,40,3.9,
