country,rnd_1_year_growth_%,capex_1_year_growth_%,capex_eur_million,capex_int_%,company,employees,employees_1_year_growth_%,eu_rank,industrial_sector,profitability_%,profits_1_year_growth_%,profits_losses_eur_million,rnd_eur_million,rnd_intensity_%,sales_1_year_growth_%,sales_eur_million,year
germany,1.56,4.89,4.53,,daimlerchrysler,379.02,2.25,1,automobiles & parts (31),2.4,,,5658.0,3.98,4.12,142059.0,2004
germany,-8.13,4.56,3.98,,siemens,419.2,-0.02,2,electronic & electrical  (25),4.0,,,5063.0,6.74,1.26,75167.0,2004
germany,0.58,15.25,13.73,,volkswagen,321.09,2.03,3,automobiles & parts (31),2.0,,,4164.0,4.68,0.62,88963.0,2004
uk,1.72,4.06,4.88,,glaxosmithkline,99.84,-3.23,4,pharma & biotech (48),30.3,,,4010.09,13.94,-5.05,28757.0,2004
france,-2.63,,,,sanofi-aventis,96.44,,5,pharma & biotech (48),11.6,,,3961.0,15.58,4.62,25418.0,2004
finland,-3.62,1.31,1.72,,nokia,53.51,3.69,6,it hardware (93),14.7,,,3834.0,13.1,-0.64,29267.0,2004
germany,9.36,5.58,6.09,,robert bosch,238.85,4.1,7,automobiles & parts (31),6.0,,,2898.0,7.24,10.04,40007.0,2004
germany,10.12,17.56,6.94,,bmw,103.63,1.52,8,automobiles & parts (31),8.4,,,2818.0,6.36,6.77,44335.0,2004
uk,10.2,6.58,4.96,,astrazeneca,64.2,6.29,9,pharma & biotech (48),22.3,,,2797.93,17.75,13.66,15763.0,2004
the netherlands,-3.17,3.38,4.24,,philips electronics,141.97,-3.7,10,electronic & electrical  (25),7.7,,,2534.0,8.36,4.42,30319.0,2004
sweden,-24.93,2.97,1.85,,ericsson,51.74,-9.51,11,it hardware (93),21.8,,,2435.87,16.67,12.09,14611.0,2004
germany,-0.41,5.05,3.98,,bayer,113.83,-3.77,12,chemicals (11),5.4,,,2404.0,8.08,4.17,29758.0,2004
the netherlands,4.65,9.13,10.42,,eads,110.66,1.4,13,aerospace & defence (21),7.0,,,2295.0,7.23,5.4,31761.0,2004
france,0.95,5.54,4.97,,peugeot (psa),207.2,3.65,14,automobiles & parts (31),4.2,,,2118.0,3.73,4.72,56797.0,2004
france,12.9,7.5,,,renault,130.89,-0.35,15,automobiles & parts (31),11.3,,,1961.0,4.82,8.5,40715.0,2004
italy,3.63,4.04,4.37,,istituto finanziario industriale,179.79,-6.63,16,automobiles & parts (31),-2.3,,,1827.0,3.52,-3.05,51878.0,2004
uk,1.0,2.9,3.6,,bae systems,69.4,0.73,17,aerospace & defence (21),-0.6,,,1567.88,12.2,8.44,12847.0,2004
france,-2.26,1.13,1.84,,alcatel,55.72,-7.88,18,it hardware (93),1.5,,,1557.0,12.69,-1.98,12265.0,2004
italy,18.47,3.04,4.72,,finmeccanica,46.4,3.21,19,aerospace & defence (21),-0.8,,,1453.68,19.31,0.43,7529.0,2004
germany,4.76,6.99,5.23,,boehringer ingelheim,35.28,3.83,20,pharma & biotech (48),16.8,,,1232.0,15.1,10.5,8157.0,2004
germany,12.56,14.17,16.16,,infineon technologies,34.13,8.26,21,it hardware (93),1.1,,,1219.0,16.94,16.95,7195.0,2004
germany,6.16,6.87,5.14,,basf,81.96,-5.95,22,chemicals (11),11.8,,,1172.8,3.12,12.52,37537.0,2004
uk,-2.35,2.43,2.5,,unilever,227.0,-5.42,23,food producers (43),8.6,,,1040.0,2.59,-5.91,40169.0,2004
germany,2.42,2.9,2.29,,sap,31.22,7.31,24,software & computer services (97),26.6,,,1020.02,13.57,6.96,7514.0,2004
sweden,13.97,5.7,4.85,,volvo,78.2,6.89,25,engineering & machinery (26),6.7,,,990.53,4.25,14.79,23294.0,2004
