eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
1,VOLKSWAGEN,Germany,Automobiles & Parts,11743,23.41565949,5.960701904,197007,2.247814985,11385,8.500905365,5.778982473,11500,-8.176301501,5.837356033,572.8,9.053870099
2,DAIMLER,Germany,Automobiles & Parts,5379,-4.610746586,4.559170043,117982,3.224056624,4975,3.066086596,4.216744927,11201,21.39373578,9.493821091,274.616,-0.17121856
3,BMW,Germany,Automobiles & Parts,4792,21.25506073,6.300454916,76058,-1.028003331,6669,27.36822002,8.768308396,8195,-4.786801441,10.77467196,110.351,4.226642487
4,SANOFI-AVENTIS,France,Pharmaceuticals & Biotechnology,4757,-3.096353636,14.43658766,32951,-5.711505995,1398,-13.27543424,4.242663349,4792,-27.65700483,14.54280598,112.128,0.137531927
5,ROBERT BOSCH,Germany,Automobiles & Parts,4653,-5.503655565,10.10028653,46068,3.053486343,,  ,0,2589,50.61082024,5.619953113,279.739,2.434353384
6,SIEMENS,Germany,Electronic & Electrical Equipment,4556,-0.349956255,6.004058934,75882,-3.083171554,1869,-15.27651859,2.463034712,5293,-22.69607127,6.975303761,367,-10.48780488
7,GLAXOSMITHKLINE,UK,Pharmaceuticals & Biotechnology,4154.316212,-1.611990968,13.12582532,31649.94286,0.279974273,1418.605249,13.03520463,4.482173176,8441.178875,-3.966852326,26.67043954,99.817,1.151184119
8,AIRBUS,The Netherlands,Aerospace & Defence,3581,-1.349862259,6.04326988,59256,4.915014164,2949,-9.816513761,4.976711219,2569,23.62848893,4.335425948,144.061,2.603895873
9,ERICSSON,Sweden,Technology Hardware & Equipment,3484.793321,-4.415134065,13.57751038,25665.92272,-0.176925882,508.293092,-17.05654815,1.980420099,2124.49129,693.8000832,8.277478716,114.34,3.70504739
10,NOKIA,Finland,Technology Hardware & Equipment,3456,-17.10242264,14.74151169,23444,-23.26525268,407,-11.71366594,1.736051868,62,-102.6666667,0.26445999,55.244,-15.71849207
11,FIAT,Italy,Automobiles & Parts,3362,2.033383915,3.872558054,86816,3.405314625,7440,  ,8.569848876,3499,-1.269751693,4.030363067,225.587,5.004282336
12,BAYER,Germany,Pharmaceuticals & Biotechnology,3259,2.419861722,8.115646089,40157,1.046777887,2157,11.81959565,5.371417188,4826,29.66147233,12.01783002,113.2,2.909090909
13,ASTRAZENECA,UK,Pharmaceuticals & Biotechnology,3202.81351,-0.808443761,17.17941737,18643.31858,-8.086368998,538.032064,10.41666669,2.885924315,2667.681889,-53.34178821,14.3090506,51.5,-0.386847195
14,BOEHRINGER INGELHEIM,Germany,Pharmaceuticals & Biotechnology,2743,-1.860465116,19.5023107,14065,-4.261112246,,  ,0,2060,-0.483091787,14.6462851,47.492,2.7342736
15,ALCATEL-LUCENT,France,Technology Hardware & Equipment,2374,-2.585145671,16.44499861,14436,-0.269430052,528,-9.122203098,3.65752286,-748,-55.76581904,-5.181490718,62.311,-13.86846179
16,SAP,Germany,Software & Computer Services,2282,1.287172659,13.57121618,16815,3.64914011,566,4.621072089,3.366042224,4479,10.70192783,26.63693131,66.572,3.337369222
17,VOLVO,Sweden,Industrial Engineering,2130.473864,-6.467119282,6.923138998,30773.23545,-10.21745645,934.749076,-11.31934037,3.037539155,809.227887,-59.42611352,2.629648379,94.832,-7.102133579
18,PEUGEOT (PSA),France,Automobiles & Parts,1966,-20.75775897,3.634682936,54090,-2.445622768,1397,-38.70118473,2.582732483,-1374,-72.98997444,-2.54021076,0,-100
19,CONTINENTAL,Germany,Automobiles & Parts,1918.6,5.019431824,5.756202934,33331,1.816948821,1980.7,-1.82890563,5.942515976,3272.9,1.623921009,9.819387357,177.762,4.78840361
20,BASF,Germany,Chemicals,1849,4.69988675,2.499560651,73973,2.55653066,4660,16.06475716,6.299595798,6782,3.986507206,9.168210023,112.206,1.285407377
21,PHILIPS,The Netherlands,General Industrials,1829,-5.575632421,7.482714888,24443,-3.581712753,587,-11.19515885,2.401505544,1984,303.2520325,8.116843268,116.681,-1.190647573
22,RENAULT,France,Automobiles & Parts,1793,-5.082053997,4.380435845,40932,-0.81899685,2749,-3.442219881,6.716016808,-174,-116.92607,-0.42509528,121.807,-4.15388005
23,FINMECCANICA,Italy,Aerospace & Defence,1748,-3.53200883,10.90251357,16033,-6.882332443,1057,24.64622642,6.592652654,402,-196.6346154,2.507328635,63.835,-5.300557797
24,NOVO NORDISK,Denmark,Pharmaceuticals & Biotechnology,1567.386677,12.13341006,13.99990428,11195.69567,7.107887118,433.777612,-3.973902682,3.874503423,4218.949454,6.850105198,37.68367396,37.978,10.7682436
25,MERCK DE,Germany,Pharmaceuticals & Biotechnology,1504.3,-0.463177397,13.55823742,11095.1,-0.696327722,407,23.67061683,3.668286,1595,66.56223893,14.37571541,38.154,-1.783921538
26,STMICROELECTRONICS,The Netherlands,Technology Hardware & Equipment,1362.482813,-19.21754084,23.24919574,5860.343851,-4.839279396,385.033727,17.73835893,6.570155895,-493.800317,-70.60854554,-8.426132144,45.39,-6.33512175
27,BANCO SANTANDER,Spain,Banks,1229,11.93078324,2.995004265,41035,-8.438762077,,  ,0,7652,113.5640525,18.64749604,182.958,-2.037341443
28,SAFRAN,France,Aerospace & Defence,1159,18.38610827,7.998619738,14490,6.426735219,492,17.42243437,3.395445135,1610,14.4278607,11.11111111,66.289,5.964065347
29,ROYAL BANK OF SCOTLAND,UK,Banks,1083.059731,-0.220021972,4.604060913,23524.0096,-4.591243705,,  ,0,-9843.066553,56.20617775,-41.84263959,118.6,-13.55685131
30,TELEFONICA,Spain,Fixed Line Telecommunications,1046,-6.019766397,1.833125953,57061,-8.491564565,9674,2.035650248,16.9537863,10092,-11.13850489,17.68633568,126.73,-4.847356329
31,UNILEVER,The Netherlands,Food Producers,1040,3.6889332,2.088479226,49797,-2.975216273,,  ,0,7531,8.157403418,15.12340101,0.174,1.162790698
32,ALSTOM,France,Industrial Engineering,1012,4.329896907,4.992846218,20269,0,844,14.36314363,4.163994277,984,-20.1946472,4.854704228,86.125,-0.147242962
33,TELECOM ITALIA,Italy,Fixed Line Telecommunications,977,62.2923588,4.173965053,23407,-20.66230553,2505,-21.74320525,10.70192677,2357,56.50730412,10.06963729,65.619,-16.41211164
34,ROYAL DUTCH SHELL,UK,Oil & Gas Producers,955.695768,0.304414067,0.292087272,327195.2806,-3.407448952,29109.56495,23.23489686,8.896694627,24818.36043,-26.91847803,7.585182887,92,5.747126437
35,TOTAL,France,Oil & Gas Producers,949,17.88819876,0.552853107,171655,-5.838759401,22400,12.53453906,13.04943054,18449,-15.79643998,10.74772072,98.799,1.722504788
